XML;1.0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PROJECT_NAME;LA_TRANSFIGURACION;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AUTHOR;DMP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DATE;26/06/20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DEVICE;DUETTO_1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TUBE;CU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WIDTH_CM;63,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HEIGHT_CM;93,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WIDTH_PIXEL;3020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HEIGHT_PIXEL;4456;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CS_ORIGIN;TOP_LEFT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POSITION;-;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165
X;-;0.02682119;0.10264901;0.20364238;0.30331126;0.40298013;0.50231788;0.60496689;0.70629139;0.80894040;0.91158940;0.98741722;0.02682119;0.10264901;0.20364238;0.30331126;0.40298013;0.50231788;0.60496689;0.70629139;0.80894040;0.91158940;0.98741722;0.02682119;0.10264901;0.20364238;0.30331126;0.40298013;0.50231788;0.60496689;0.70629139;0.80894040;0.91158940;0.98741722;0.02682119;0.10264901;0.20364238;0.30331126;0.40298013;0.50231788;0.60496689;0.70629139;0.80894040;0.91158940;0.98741722;0.02682119;0.10264901;0.20364238;0.30331126;0.40298013;0.50231788;0.60496689;0.70629139;0.80894040;0.91158940;0.98741722;0.02682119;0.10264901;0.20364238;0.30331126;0.40298013;0.50231788;0.60496689;0.70629139;0.80894040;0.91158940;0.98741722;0.02682119;0.10264901;0.20364238;0.30331126;0.40298013;0.50231788;0.60496689;0.70629139;0.80894040;0.91158940;0.98741722;0.02682119;0.10264901;0.20364238;0.30331126;0.40298013;0.50231788;0.60496689;0.70629139;0.80894040;0.91158940;0.98741722;0.02682119;0.10264901;0.20364238;0.30331126;0.40298013;0.50231788;0.60496689;0.70629139;0.80894040;0.91158940;0.98741722;0.02682119;0.10264901;0.20364238;0.30331126;0.40298013;0.50231788;0.60496689;0.70629139;0.80894040;0.91158940;0.98741722;0.02682119;0.10264901;0.20364238;0.30331126;0.40298013;0.50231788;0.60496689;0.70629139;0.80894040;0.91158940;0.98741722;0.02682119;0.10264901;0.20364238;0.30331126;0.40298013;0.50231788;0.60496689;0.70629139;0.80894040;0.91158940;0.98741722;0.02682119;0.10264901;0.20364238;0.30331126;0.40298013;0.50231788;0.60496689;0.70629139;0.80894040;0.91158940;0.98741722;0.02682119;0.10264901;0.20364238;0.30331126;0.40298013;0.50231788;0.60496689;0.70629139;0.80894040;0.91158940;0.98741722;0.02682119;0.10264901;0.20364238;0.30331126;0.40298013;0.50231788;0.60496689;0.70629139;0.80894040;0.91158940;0.98741722
Y;-;0.02154399;0.02154399;0.02154399;0.02154399;0.02154399;0.02154399;0.02154399;0.02154399;0.02154399;0.02154399;0.02154399;0.08909336;0.08909336;0.08909336;0.08909336;0.08909336;0.08909336;0.08909336;0.08909336;0.08909336;0.08909336;0.08909336;0.16090664;0.16090664;0.16090664;0.16090664;0.16090664;0.16090664;0.16090664;0.16090664;0.16090664;0.16090664;0.16090664;0.22755835;0.22755835;0.22755835;0.22755835;0.22755835;0.22755835;0.22755835;0.22755835;0.22755835;0.22755835;0.22755835;0.29510772;0.29510772;0.29510772;0.29510772;0.29510772;0.29510772;0.29510772;0.29510772;0.29510772;0.29510772;0.29510772;0.36579892;0.36579892;0.36579892;0.36579892;0.36579892;0.36579892;0.36579892;0.36579892;0.36579892;0.36579892;0.36579892;0.43559246;0.43559246;0.43559246;0.43559246;0.43559246;0.43559246;0.43559246;0.43559246;0.43559246;0.43559246;0.43559246;0.50426391;0.50426391;0.50426391;0.50426391;0.50426391;0.50426391;0.50426391;0.50426391;0.50426391;0.50426391;0.50426391;0.53972172;0.53972172;0.53972172;0.53972172;0.53972172;0.53972172;0.53972172;0.53972172;0.53972172;0.53972172;0.53972172;0.57405745;0.57405745;0.57405745;0.57405745;0.57405745;0.57405745;0.57405745;0.57405745;0.57405745;0.57405745;0.57405745;0.64699282;0.64699282;0.64699282;0.64699282;0.64699282;0.64699282;0.64699282;0.64699282;0.64699282;0.64699282;0.64699282;0.71342011;0.71342011;0.71342011;0.71342011;0.71342011;0.71342011;0.71342011;0.71342011;0.71342011;0.71342011;0.71342011;0.77894973;0.77894973;0.77894973;0.77894973;0.77894973;0.77894973;0.77894973;0.77894973;0.77894973;0.77894973;0.77894973;0.85076302;0.85076302;0.85076302;0.85076302;0.85076302;0.85076302;0.85076302;0.85076302;0.85076302;0.85076302;0.85076302;0.91741472;0.91741472;0.91741472;0.91741472;0.91741472;0.91741472;0.91741472;0.91741472;0.91741472;0.91741472;0.91741472
XRF;Ag;51,93;71,7;100,65;146,23;198,66;136,96;124,2;66,53;41,21;38,79;122,67;225,75;234,22;298,59;308,83;549,13;826,62;640,53;300,81;221,03;258,29;205,65;199,39;225,37;276,22;504,33;519,33;576,54;596,39;412,85;329,82;200,69;208,86;297,32;257,44;382,89;305,14;765,41;548,06;658,63;604,23;598,13;306,52;177,69;162,95;257,13;231,6;359,78;515,34;443,06;590,19;430,37;395,14;315,34;213,27;129,2;367,78;303,33;438,28;402,17;442,77;455,32;356,16;503,93;426;206,72;259,07;208,38;198,21;369,54;303,23;523,9;307,26;217,03;334,23;247,13;263,7;93,94;230,43;169,22;125,96;327,84;243,13;209,4;175,87;677,16;199,17;158,96;124,48;372,97;286,73;228,56;208,67;346,43;197,8;416,13;395,03;342,85;438,5;212,62;334,09;231,47;173,57;257,76;327,01;205,5;309,7;448,94;507,47;666,24;184,6;177,01;289,87;122,95;252,36;287,61;232,11;678,72;286,01;244,33;222,96;210,8;179,33;408,48;178,53;148,41;120,94;586,5;123,92;584,97;189,88;278,07;228,06;58;139,58;354,91;177,72;262,64;648,76;96,46;263,21;145,68;201,11;178,02;176,19;121,98;445,77;249,7;336,63;634,57;106,98;417,22;301,88;168,91;122,52;142,44;149,15;168,18;219,87;629,68;651,82;584,97;232,13;184,16;281,07
XRF;Al;31919,25;43698,81;42979,62;0;0;9122,33;0;45299,87;60647,3;74828,49;38239,91;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27855,41;29198,29;14099,75;17557,45;0;0;0;0;0;0;0;26336,38;29027,47;18974,9;0;0;0;0;0;0;0;0;34950,07;22780,33;0;0;0;34482,56;12750,5;0;0;0;25159,69;12257,37;8365,78;0;0;0;0;0;11669,97;0;0;19596,82;14639,21;9279,71;13803,78;12316,38;0;0;7060,73;0;0;18505,22;18868,03;11319,51;0;0;0;11969,62;12118,91;0;0;13585,17;12565,05;10526,25;12421,3;10448,77;0;10398,69;9509,1;0;17165,85;0;9396,67;0;0;47063,12;46794,72;0;75100,12;17310,32;21902,4;26618,86;0;0;0;40066,22;20329,85;0;0;0;9878,91;14247,66;0;67677,37;0;16481,5;23555,2;15850,55;12420,43;0;7715,18;24212,65;15152,41;0;31814,78;0;16341,27;29701,53;25567,12;0;0;7826,03;17511,61;12696;0;38746,54;0;7634,13;24659,84;21625,75;20980,22;0;12421,76;23366,61;0;30762,68;0;0;17983,66;12567,66
XRF;As;11454,39;11659,64;18187,29;22751,26;25282;18751,78;17677,04;12257,87;5970,06;5491,89;12706,78;29696,99;31103,51;54811,56;67639,12;96963,62;124781,89;103908,91;64919,82;32020,63;27809,91;21384,22;22113,35;43402,75;59427,24;92210,7;96581,43;95301,3;103314,6;68576,17;67546,75;23157,43;22603,41;30904,69;56372,23;81758,43;65958,78;108510,33;95875,92;107135,87;89160,39;93997,72;31757,85;22261,98;23015,85;50192,76;58318,71;78865,55;97313,3;90232,55;90539,27;76799,76;71117,2;32957,79;24633,79;17326,21;83408,88;64854,64;70834,58;80077,91;85894,86;87740,61;67971,71;84303,64;44063,31;23688,74;30466,84;43666,77;47155,84;75099,42;55971,72;100758,47;72931,51;47788,77;74112,01;31635,77;29130,94;10951,74;22760,63;16041,12;13589,09;31021,18;24098,22;20213,58;18555,16;68682,92;26194,46;21589,78;13283,39;58094,56;69695,41;61499,34;50224,19;81123,16;49045,43;92913,66;79263,52;44022,93;48450,2;18675,16;67727,84;58390,02;53871,03;79602,37;72455,41;55047,37;72777,73;83796,45;47106,8;97975,91;24321,9;49176,34;74556,7;45411,2;58061,73;70917,48;60273,98;110388,59;65572,63;27891,72;35684,11;29784,67;47771,1;87388,38;55168,4;35236,74;48867,77;98326,71;34384,29;105352,58;28579,7;38093,22;25038,5;13649,15;39033,34;61819,19;52896,87;69120,15;102292,73;29975,79;66122,74;30789,27;17114,57;22603,1;22749,03;40329,19;76190,28;61156,79;71482,87;111626,16;26760,54;83001,02;42598,9;13402,48;17586,1;27292,46;25367,67;40530,41;60672,73;112240,77;96935,88;108784,55;55819,33;21626,49;29108,48
XRF;Ba;736,21;922,77;1636,81;2253,7;2928,75;2194,04;1843,75;892,82;531,66;602,26;2229,36;8003,1;6865,84;10749;11637;16940,98;22095,98;21300,7;9204,91;7870,49;8859,17;6334,39;5941,99;6723,15;7749,49;15955,99;14453,88;15179,71;15791,09;10372,7;11728,89;7349,78;5947,01;8672,6;9287,06;10265,92;9295,73;15707,03;12842,61;15900,83;15214,59;16033,56;10456,02;6612,9;7523,26;7535,44;9376,3;12603,82;14837,11;11329,11;14137,78;11187,05;14326,12;8800,45;6726,83;5434,57;14655,68;8223,96;10949,11;10395,46;10595,32;13431,71;10929,09;16046,36;11040,48;6228,82;9039,87;7919,48;6526,65;9656,45;9305,95;12889,92;8630;8007,93;14494,6;7364,6;7059,15;2474,13;8681,33;5402,55;4384,42;10620,78;7069,03;6215,69;6146,96;18541,58;6920,49;6558,89;3155,71;13211,22;9238,76;7911,93;6676,01;8912,83;6576,26;10149,99;12030,55;12730,09;13621,93;5228,47;11628,41;7872,75;6913,21;8648,99;11601,85;7133,08;14778,52;15251,39;14433,95;19060,16;4602,46;5977,18;10203,56;5733,9;7416,57;9415,44;6683,4;17348,28;10407,16;7622,47;7589,8;5408,1;6213,54;11987,02;6518,77;5747,95;4457,77;10978,96;5981,29;14811,45;7016,87;11269,14;4452,66;2462,13;4654,23;8582,76;5723,57;6477,27;13277,54;4311,73;8567,66;5286,11;8274,32;5738,64;6410;5381,16;11116,99;6813,76;8544,76;14485,45;4123,53;16467,95;9947,67;5008,13;3671,27;5697,22;5848,52;5608,82;8087,9;14528,41;13344,23;15360,17;10508,36;4905,3;10295,83
XRF;Bi;1078,96;0;1712,37;1452,12;1295,32;1621,66;1938,13;1464,67;0;1010,94;1192,05;1362,45;2016,15;1500,51;1506,34;1331,49;735,49;1410,76;1548,58;2187,64;2055,29;2379,22;2202,67;2286,14;1614,95;1303,09;1628,72;1557,7;1463,6;1550,79;1594,6;2776,11;2436,44;1036,27;1545,4;6693,16;1142,13;1279,88;1980,78;1477,25;970,31;1452,61;1918,86;1961,43;1546,96;1667,46;8867,07;1768,77;1624,64;1886,91;1350,39;1982,7;1596,37;1903,1;2313,3;1565,36;1888,08;2023,31;1559,14;2143,96;1010,95;1264,42;1854,84;1474,11;2044,99;1827,96;1789,44;1721,96;2730,91;1523,42;1278,7;1477,71;1346,05;1404,81;1463,21;2070,44;1651;1669,92;1621,57;1915,33;2095,45;1755,11;1670,05;1610,79;2278,59;1411,89;1218,53;2023,62;1963,03;1456,53;1657,14;1986;1602,29;2189,34;1388,66;1250,9;1445,24;1433,29;1772,19;1552,06;3169,62;2226,37;1733;2174,15;1495,46;942,88;1044,8;1632,82;1606,16;1271,13;3142,6;3703,59;1828,14;1847,58;1398,05;3143,9;1575,93;2161,35;1614,27;1737,83;1205,91;5081,83;1363,41;1786,29;1711,14;2052,55;5080,46;1157,51;7029,54;1479,84;1693,64;1552,8;1418,66;1650,29;1805,01;1468,76;3799,18;3131,66;1457,58;9790,88;2008,69;1626,61;1537,91;1849,89;3793,46;1532,72;1008,36;1855,56;1740,39;1572,72;10506,35;1557,03;1314,47;1202,76;1208,95;1304,01;1972,19;1708,85;1194,7;1835,12;4658,18;1357,12;1573,67;1947,28;1091,39
XRF;Ca;8859,84;6267,92;6945,5;5268,22;3661,66;3926,31;4794,79;4276,38;8317,56;7718,29;14558,25;5448,41;3802,48;6682,35;11616,24;9835;13162,72;6839,66;5122,22;4294,28;3643,38;4227,15;4031,92;5281,92;4612,76;31806,88;5264,5;9999,08;8969,89;12548,72;6805,08;4262,29;4553,9;19644,01;41719,59;20012,67;35513,12;7917,88;4157,73;7354,42;9942,54;4783,92;4585,82;6888,49;43433,9;34666,22;26883,37;7791,42;6880,56;4860,41;5374,98;7601,25;8724,66;3446,28;4603,31;30792,46;24690,36;5773,56;5542,16;8819,29;7395,45;82716,45;8929,6;5062,68;6736,84;16109;35416,43;57676,3;110648,79;54807,13;75807,91;20277,2;20997,32;35820,47;11549,37;8068,51;15998,68;12638,24;23853,5;15794,91;18364,67;13571,62;15296,86;23020,14;20544,57;17252,17;15849,75;32193,61;16282,79;28505,04;33038,41;19251,93;21474,5;27877,28;24823,55;41951,24;45408,74;34304,83;12876,52;20417,91;10456,74;24247,35;41843,05;30730,13;12816,9;53308,64;62236,55;22834,04;1431,13;0;5836,2;15569,97;20480,12;18708,73;39576,59;27966,94;42673;4764,28;27377,62;26571,08;28583,96;10431,9;24824,07;27048,09;9270,27;32862,16;25070,39;14595,05;16070,34;9392,68;45105,78;19086,55;56351,12;15487,72;25421,79;79054,48;39636,04;16333,1;0;15184,4;24232,07;56799,21;71430,42;28274,21;25869,77;88219,88;33198,74;23589,08;34295,03;0;24980,85;44809,07;101498,95;41098,24;32294,94;25329;22588,27;23827,75;32332,23;0;0;0;20941,59;10451,71;23137,58
XRF;Cd;120,09;165,79;241,53;340,14;454,07;335,04;293,12;158,96;124,55;94,3;250,64;497,19;471,65;719,94;655,43;1165,21;1892,98;1580,97;715,1;526,73;483,02;473,98;504,17;491,21;654,37;1196,75;1177,64;1198,62;1253,59;955,13;866,52;509,79;484,84;638,81;565,57;914,49;720,01;2000,71;1199,82;1441,76;1505,28;1284,33;743,98;407,64;446,6;585,09;492,98;868,89;1209,44;1185,85;1403,85;943,37;936,51;767,09;515,17;302,12;907,47;661,05;970,41;876,84;1071,86;1057,02;877,43;1074,74;924,1;448,71;638,97;496,75;453,89;877,76;682,56;1209,57;731,16;535,68;809,2;531,72;501,66;209,84;524,13;372,27;261,73;717,8;505,08;453,47;444,09;1401,43;496,49;348,3;273,19;775,88;614,14;511,37;401,22;658,33;480,49;906,31;822,23;748,14;1029,33;449,93;754,47;553,22;393,96;593,88;801,5;436,04;699,41;1112,98;1196,83;1682,24;428,02;387;651,14;302,31;558,45;701,86;410,88;1530,63;670,07;576,28;495,04;470,61;371,8;953,63;424,18;312,19;296,58;1438,96;268,82;1368,46;412,54;639,67;961,24;505,16;277,76;756,14;455,71;589,3;1279,82;195,04;540,96;309,62;448,99;355,25;356,49;257,44;1035,16;604,51;827,97;1389,21;216,93;1020,96;731,3;359,74;287,61;293,54;303,29;346,53;555,56;1510,56;1617,21;1321,98;625,1;392,03;548,14
XRF;Co;0;0;0;0;0;0;0;0;2942,62;2001,54;727,21;822,42;959,7;1073,91;1009,8;0;0;0;870,47;784,26;1295;473,62;876,64;1582,4;0;0;0;1802,89;0;0;857,62;788,69;266,08;0;0;25248,11;1790,86;0;785,15;0;0;0;583,45;666,94;0;0;18575,9;838,48;0;802,51;0;942,29;651,67;363,7;473,49;0;2139,24;980,07;907,95;1892,54;0;0;814,97;0;0;325,76;0;0;2041,19;0;0;0;0;0;0;448,51;533,66;0;0;0;0;0;0;0;0;0;452,89;0;0;0;0;3621,33;0;5238,24;0;0;0;0;648,16;0;9590,11;1304,28;0;8427,48;0;0;0;0;0;0;3335,72;8813,03;785,2;791,13;0;3982,8;0;0;0;0;0;8676,54;1094,46;1910,21;0;2143,22;9787,37;0;13662,32;0;0;0;0;315,2;22607,47;0;0;8342,44;0;11690,38;2584,95;0;0;0;1627,24;0;0;0;0;0;21365,22;0;0;0;0;0;0;0;0;0;0;0;0;0;0
