XML;1.0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PROJECT_NAME;LA_TRANSFIGURACION;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AUTHOR;DMP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DATE;26/06/20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DEVICE;DUETTO_1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TUBE;CU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WIDTH_CM;63,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HEIGHT_CM;93,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WIDTH_PIXEL;3020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HEIGHT_PIXEL;4456;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CS_ORIGIN;TOP_LEFT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POSITION;-;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146
X;-;0.02251656;0.06026490;0.09105960;0.12052980;0.16357616;0.20430464;0.22682119;0.25761589;0.28973510;0.31225166;0.33178808;0.30662252;0.48576159;0.50529801;0.47450331;0.48576159;0.49536424;0.51092715;0.52748344;0.54139073;0.68708609;0.02649007;0.03774834;0.04768212;0.06291391;0.08543046;0.08112583;0.50794702;0.55695364;0.02649007;0.16225166;0.12880795;0.23377483;0.33443709;0.49536424;0.49668874;0.64801325;0.65629139;0.66622517;0.68013245;0.69701987;0.71092715;0.96158940;0.28543046;0.54867550;0.52615894;0.54867550;0.57086093;0.59635762;0.61291391;0.63973510;0.63543046;0.79072848;0.78940397;0.78807947;0.78940397;0.79337748;0.83410596;0.89006623;0.91953642;0.95596026;0.80033113;0.80761589;0.81589404;0.89437086;0.39304636;0.39602649;0.40430464;0.41026490;0.50662252;0.52615894;0.53046358;0.54139073;0.55000000;0.55430464;0.54735099;0.54867550;0.55562914;0.56821192;0.57649007;0.42682119;0.41721854;0.40596026;0.38774834;0.37947020;0.46589404;0.48013245;0.49105960;0.49536424;0.49403974;0.48841060;0.48973510;0.48145695;0.61291391;0.61721854;0.61589404;0.66324503;0.90562914;0.88443709;0.86887417;0.87748344;0.86622517;0.47152318;0.08973510;0.07152318;0.05331126;0.04337748;0.14536424;0.08807947;0.25198675;0.25066225;0.24900662;0.27417219;0.30662252;0.31357616;0.14966887;0.14701987;0.17086093;0.17913907;0.10231788;0.16788079;0.18907285;0.21688742;0.25463576;0.29536424;0.33576159;0.19602649;0.23112583;0.23940397;0.36390728;0.02649007;0.05463576;0.09105960;0.43377483;0.82284768;0.97119205;0.95596026;0.62019868;0.77119205;0.77947020;0.77251656;0.76688742;0.98245033;0.84105960;0.11622517;0.04470199
Y;-;0.02737882;0.05318671;0.06732496;0.08325853;0.09964093;0.11938959;0.12881508;0.13936266;0.13464991;0.12230700;0.12881508;0.15731598;0.09672352;0.10614901;0.13846499;0.14878815;0.15641831;0.16876122;0.18379713;0.19614004;0.15641831;0.21050269;0.22172352;0.23316876;0.24461400;0.25875224;0.27289048;0.31754937;0.30610413;0.32989228;0.39901257;0.44367145;0.32877020;0.38868941;0.38958707;0.40282765;0.43873429;0.45107720;0.46342011;0.48518851;0.50246858;0.51660682;0.38487433;0.49483842;0.51750449;0.56597846;0.58191203;0.59066427;0.56485637;0.57428187;0.58482944;0.62275583;0.58011670;0.59537702;0.60951526;0.62567325;0.64272890;0.57719928;0.61243268;0.60861759;0.58864452;0.66449731;0.68065530;0.69860862;0.69771095;0.60008977;0.61243268;0.62567325;0.64183124;0.62073609;0.64744165;0.65686715;0.67594255;0.68536804;0.69950628;0.61422801;0.62477558;0.63891382;0.65305206;0.66921005;0.69008079;0.69569120;0.70713645;0.71835727;0.72980251;0.72239677;0.73945242;0.75538600;0.77917415;0.82944345;0.84178636;0.85682226;0.87679533;0.77625673;0.80767504;0.84178636;0.80004488;0.73743268;0.79533214;0.82832136;0.84178636;0.86624776;0.89003591;0.58572711;0.59717235;0.62073609;0.63599641;0.63038600;0.68424596;0.59537702;0.60480251;0.61804309;0.64362657;0.64654399;0.67863555;0.76301616;0.80004488;0.80004488;0.81328546;0.83976661;0.84358169;0.85300718;0.85973968;0.86736984;0.86916517;0.87769300;0.90529623;0.90237882;0.94501795;0.74506284;0.88442549;0.90237882;0.94030521;0.94793537;0.91853680;0.93738779;0.95444345;0.97351885;0.83415619;0.76862657;0.74416517;0.72307002;0.65596948;0.45982944;0.60188510;0.77625673
XRF;Ag;65;245;191;222;229;301;314;319;449;806;412;558;539;339;666;757;673;465;502;384;424;278;280;203;168;126;155;427;666;143;231;210;390;395;388;238;195;230;188;146;167;177;133;140;338;295;306;441;172;218;214;238;473;620;591;602;512;536;443;139;367;370;591;595;223;277;399;421;316;220;226;255;273;182;178;276;277;245;285;279;145;129;98;191;227;166;224;212;302;358;287;305;271;531;650;776;176;145;233;352;543;544;250;328;363;228;227;206;192;633;548;547;603;134;366;628;260;101;146;428;92;246;242;190;318;247;289;377;71;136;244;102;129;112;113;171;182;197;200;279;487;575;93;368;0;279
XRF;Al;33794,71;39454,59;25503,29;23162,43;45155,95;22449,41;25340,87;28557,28;14901,79;0;6707,25;0;0;16354,67;0;0;0;7432,27;10529,26;14912,13;0;28180,6;24512,14;22857,77;23695,57;18247,27;25666,19;0;0;24263,29;24961,54;7149,5;18100,17;8966,36;32765,57;26839,6;11083,86;10614,64;0;7114,1;0;8226,75;21465,01;8629,03;0;0;0;0;24582,13;18831,69;19763,92;33863,47;0;0;0;0;0;0;0;16242,94;10629,43;0;0;0;9804,48;0;0;7929,38;9485,37;8628,95;16428,24;9921,61;22890,89;19207,6;22951,47;0;0;0;0;0;11109,03;19234,33;0;0;6635,83;10351,04;9294,78;9820,88;26661,32;12387,48;11953,41;15048,75;15866,59;0;0;0;38207,39;0;8047,42;0;0;0;17405,08;15576,53;24504,57;43582,02;43156,67;64532,15;10630,05;0;0;0;0;57592,79;0;0;11434,36;44924,79;58519,15;0;27528,06;9362,27;11323,21;0;0;8454,61;0;0;23450,71;10258,1;23319,35;25455,12;28717,28;22413,01;12320,73;18459,16;10590,8;14388,7;19822,98;14319,36;0;0;44807,3;10147,53;140744,05;0
XRF;As;13699;26935;19952;36571;50916;65629;65570;71506;84846;119058;87994;96197;99294;92099;116444;116780;111944;97992;94251;85575;64101;32348;29262;20220;19808;31677;20354;114499;111916;13578;59471;44520;75701;81886;77518;80270;46904;52517;23370;14821;21203;20082;13729;13624;35858;75096;74620;80129;53908;55667;58217;58725;107842;112910;112751;116533;98952;97812;87623;13391;42167;99959;117003;108192;53516;66364;64868;64570;58423;75734;62477;64547;63881;53370;52990;65165;67447;64883;59365;61758;31952;31858;35309;45937;48737;50476;58271;56638;70031;68935;61911;60672;54290;99154;96054;116518;57088;54555;53867;65122;98300;70394;51208;57790;50508;28797;24773;55352;34196;102260;100155;97535;96367;44937;79683;110181;80387;49570;39947;87877;33397;51793;56174;43278;68034;49294;43116;76849;12830;35489;25805;12229;14540;18107;43908;24832;32358;27676;40329;62264;87439;100978;10123;60797;478;34589
XRF;Ba;1275;8194;6213;6860;8849;8361;9056;8974;13326;19999;11542;15525;14978;7919;14157;18536;15235;12834;12747;12098;13205;11706;12700;7938;5916;4424;6192;9700;16183;5567;7128;8552;11119;11626;9356;6577;5785;6808;5981;5101;5483;6139;4042;5207;9811;9230;9153;9933;4990;6436;6477;7263;18033;22299;20622;16551;13307;16395;12559;5721;9136;8513;12201;15485;6986;7716;10065;9738;8792;6831;6542;7463;7955;5795;5277;8801;8608;8465;8928;8381;5357;4867;3982;6146;7377;6137;5957;5689;7336;10539;8466;7883;8200;13462;14376;17175;6820;4817;6983;10944;13789;16174;7460;11716;12289;8080;6822;7132;5898;14812;14592;14093;16135;5937;11842;16389;6083;3523;4996;13919;4700;8095;8024;5346;8969;6522;11507;11520;2298;5396;5960;3057;3990;3437;4882;6430;5828;6784;9300;8071;11672;13263;2611;13980;0;11704
XRF;Bi;1614,38;1136,15;1724,81;1156,88;1609,63;970,01;0;876,57;1070,69;1021,26;1257,47;1626,22;1251,04;1272,12;1782,63;1258,65;1466,51;1584,01;1491,71;1670,33;1335,39;982,39;1177,47;1551,86;1542,94;1378,63;1514,32;1124,22;1413,39;1824,74;1824,41;1792,99;1670,03;1633,88;1638,86;1268,38;1513,1;1664,28;1954,66;1693,44;2074;1783,83;0;2493,53;1550,67;1267,17;1452;1804,77;1592,33;1409,89;2006,27;1731,83;1023,98;980,45;0;1035,72;0;1320,91;1209,74;1376,39;0;1178,41;0;963,89;1471,96;1047,3;1628,38;1296,43;0;1406,64;3280,69;3362,33;3276,21;2867,23;4119,88;1316,53;1791,13;2633,27;1934,79;1584,07;1884,99;1649,85;2729,87;1530,81;1425,37;5073,54;5038,66;5357,65;2656,53;1404,1;1602,44;1855,27;1615,6;1505,05;972,73;1543,02;1631,93;2411,79;1573,55;2511,78;1512,4;1888,01;1661,13;3672,28;3249,06;3094,54;3909,79;3759,47;1933,04;1818,55;1809,73;1808,43;1776,2;2062,39;1715,83;2287,78;2828,22;7001,37;8657,04;3115,56;1802,46;1792,76;1389,67;2100,97;1642,25;1454,55;1870,92;2124,61;0;1368,93;2107,72;1986,29;1940,52;1664,9;2160,88;1950,52;1574,77;1746,86;1535,71;2020,84;2077,49;1979,08;0;1821,61;0;1964,44
XRF;Ca;9101;12123;4572;4811;9669;9311;4519;3728;7782;8964;7977;29021;22873;21380;1358;2631;2705;6540;7465;12474;10183;19732;26788;27456;18671;25326;28618;12961;17107;13378;36498;51317;15476;20156;14147;10762;43649;39445;22134;37387;16049;12295;13155;17714;16591;9667;11645;12013;46399;42045;50058;45405;18938;13870;16328;15175;16836;29164;24447;40332;2767;9671;7058;9934;54985;70014;42979;26064;71837;30607;39992;34716;38275;32926;36513;61812;57379;40125;61503;50056;53023;41161;28923;73144;75866;18047;13495;13042;15770;29804;28132;26412;39956;0;0;0;11564;42103;70462;31124;24770;15719;27420;9407;8211;6935;7430;15695;29627;0;0;0;0;16913;7207;2333;10068;23931;23128;4334;53726;59164;60608;47214;29466;87066;25157;8869;22685;78088;34747;21980;28842;56043;20506;15028;29626;39753;73297;9172;3586;0;16455;4021;16795;6715
XRF;Cd;161;504;456;469;516;687;858;741;1048;1954;1014;1113;1075;754;1446;1656;1354;1122;1042;885;1102;689;709;486;370;231;378;980;1715;321;540;455;862;932;943;576;433;457;424;336;351;426;286;314;730;680;619;1032;340;426;431;482;1119;1443;1377;1487;1224;1267;970;295;787;830;1382;1402;454;656;870;839;781;536;453;544;633;444;389;611;649;621;624;595;277;269;263;394;506;344;490;515;651;804;674;685;571;1274;1546;1563;433;338;518;768;1216;1246;581;802;921;569;545;486;448;1256;1235;1097;1362;310;849;1364;581;195;316;972;203;467;552;443;732;522;660;878;136;331;464;219;289;203;257;400;396;427;430;622;1107;1151;208;986;0;1674
XRF;Co;0;0;462;960;1707;639;875;0;0;0;0;0;0;0;0;0;0;779;0;914;505;0;0;0;0;0;0;0;0;0;0;0;0;0;800;0;0;0;0;0;0;0;233;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10336;6771;6152;6505;10069;0;0;1373;0;2337;0;507;1631;0;0;10576;11312;11895;9714;0;0;0;0;0;0;0;935;0;0;0;0;0;0;7939;7248;3462;4482;10609;0;0;0;0;0;846;736;3704;12593;22509;20055;3664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;431;0;0;0;925;623;0;0;0;559;0
